trainId,route,source,destination,coaches,capacityPerCoach,totalCapacity,platformNumber,baseDemand
TR001,Mumbai→Delhi,Mumbai,Delhi,8,80,640,6,1000
TR002,Delhi→Chennai,Delhi,Chennai,7,80,560,5,1100
TR003,Bangalore→Kolkata,Bangalore,Kolkata,15,80,1200,6,850
TR004,Hyderabad→Mumbai,Hyderabad,Mumbai,8,80,640,2,900
TR005,Chennai→Delhi,Chennai,Delhi,12,80,960,2,1150
TR006,Jaipur→Mumbai,Jaipur,Mumbai,17,80,1360,10,600
TR007,Pune→Delhi,Pune,Delhi,17,80,1360,8,950
TR008,Kolkata→Mumbai,Kolkata,Mumbai,12,80,960,1,1050
TR009,Mumbai→Delhi,Mumbai,Delhi,8,80,640,10,1000
TR010,Delhi→Chennai,Delhi,Chennai,17,80,1360,11,1100
TR011,Bangalore→Kolkata,Bangalore,Kolkata,7,80,560,3,850
TR012,Hyderabad→Mumbai,Hyderabad,Mumbai,12,80,960,8,900
TR013,Chennai→Delhi,Chennai,Delhi,17,80,1360,8,1150
TR014,Jaipur→Mumbai,Jaipur,Mumbai,13,80,1040,9,600
TR015,Pune→Delhi,Pune,Delhi,13,80,1040,2,950
TR016,Kolkata→Mumbai,Kolkata,Mumbai,17,80,1360,8,1050
TR017,Mumbai→Delhi,Mumbai,Delhi,10,80,800,1,1000
TR018,Delhi→Chennai,Delhi,Chennai,9,80,720,6,1100
TR019,Bangalore→Kolkata,Bangalore,Kolkata,13,80,1040,12,850
TR020,Hyderabad→Mumbai,Hyderabad,Mumbai,9,80,720,2,900
