date,trainId,route,source,destination,scheduledTime,passengerCount,totalCapacity,seatsAvailable,occupancyRate,coaches,platformNumber,delayMinutes,isWeekend,isHoliday,season
2025-12-05,TR001,Mumbai→Delhi,Mumbai,Delhi,08:30,960,640,0,1.5,8,6,19,False,False,winter
2025-12-06,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,31,True,False,winter
2025-12-07,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,960,640,0,1.5,8,6,11,True,False,winter
2025-12-08,TR001,Mumbai→Delhi,Mumbai,Delhi,18:30,960,640,0,1.5,8,6,9,False,False,winter
2025-12-09,TR001,Mumbai→Delhi,Mumbai,Delhi,17:30,919,640,0,1.4359375,8,6,7,False,False,winter
2025-12-10,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,12,False,False,winter
2025-12-11,TR001,Mumbai→Delhi,Mumbai,Delhi,03:30,933,640,0,1.4578125,8,6,0,False,False,winter
2025-12-12,TR001,Mumbai→Delhi,Mumbai,Delhi,08:30,960,640,0,1.5,8,6,17,False,True,winter
2025-12-13,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,960,640,0,1.5,8,6,1,True,False,winter
2025-12-14,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,960,640,0,1.5,8,6,12,True,False,winter
2025-12-15,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,960,640,0,1.5,8,6,18,False,False,winter
2025-12-16,TR001,Mumbai→Delhi,Mumbai,Delhi,06:30,960,640,0,1.5,8,6,12,False,False,winter
2025-12-17,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,960,640,0,1.5,8,6,0,False,False,winter
2025-12-18,TR001,Mumbai→Delhi,Mumbai,Delhi,00:30,960,640,0,1.5,8,6,15,False,False,winter
2025-12-19,TR001,Mumbai→Delhi,Mumbai,Delhi,19:30,960,640,0,1.5,8,6,5,False,False,winter
2025-12-20,TR001,Mumbai→Delhi,Mumbai,Delhi,18:30,960,640,0,1.5,8,6,11,True,False,winter
2025-12-21,TR001,Mumbai→Delhi,Mumbai,Delhi,01:30,960,640,0,1.5,8,6,33,True,False,winter
2025-12-22,TR001,Mumbai→Delhi,Mumbai,Delhi,19:30,930,640,0,1.453125,8,6,2,False,False,winter
2025-12-23,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,960,640,0,1.5,8,6,24,False,True,winter
2025-12-24,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,10,False,False,winter
2025-12-25,TR001,Mumbai→Delhi,Mumbai,Delhi,04:30,960,640,0,1.5,8,6,34,False,True,winter
2025-12-26,TR001,Mumbai→Delhi,Mumbai,Delhi,01:30,960,640,0,1.5,8,6,0,False,False,winter
2025-12-27,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,960,640,0,1.5,8,6,18,True,False,winter
2025-12-28,TR001,Mumbai→Delhi,Mumbai,Delhi,22:30,960,640,0,1.5,8,6,39,True,False,winter
2025-12-29,TR001,Mumbai→Delhi,Mumbai,Delhi,22:30,960,640,0,1.5,8,6,35,False,True,winter
2025-12-30,TR001,Mumbai→Delhi,Mumbai,Delhi,16:30,914,640,0,1.428125,8,6,5,False,False,winter
2025-12-31,TR001,Mumbai→Delhi,Mumbai,Delhi,19:30,960,640,0,1.5,8,6,10,False,False,winter
2026-01-01,TR001,Mumbai→Delhi,Mumbai,Delhi,15:30,960,640,0,1.5,8,6,19,False,False,winter
2026-01-02,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,12,False,False,winter
2026-01-03,TR001,Mumbai→Delhi,Mumbai,Delhi,12:30,960,640,0,1.5,8,6,20,True,False,winter
2026-01-04,TR001,Mumbai→Delhi,Mumbai,Delhi,16:30,960,640,0,1.5,8,6,10,True,False,winter
2026-01-05,TR001,Mumbai→Delhi,Mumbai,Delhi,16:30,932,640,0,1.45625,8,6,0,False,False,winter
2026-01-06,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,958,640,0,1.496875,8,6,19,False,False,winter
2026-01-07,TR001,Mumbai→Delhi,Mumbai,Delhi,11:30,960,640,0,1.5,8,6,5,False,False,winter
2026-01-08,TR001,Mumbai→Delhi,Mumbai,Delhi,04:30,955,640,0,1.4921875,8,6,16,False,False,winter
2026-01-09,TR001,Mumbai→Delhi,Mumbai,Delhi,01:30,960,640,0,1.5,8,6,1,False,False,winter
